Display Name,Organization,Entity Type,Stance,Comment Letter
American Chemistry Council,American Chemistry Council,trade_association,Concerned,"May 10, 2026

To: The Environmental Protection Agency
From: American Chemistry Council
Organization: American Chemistry Council
Subject: Formal Comment on Proposed Rulemaking

The American Chemistry Council represents a broad spectrum of interests in chemical manufacturing advocacy, regulatory compliance coordination. We write today to share our perspectives on the proposed regulatory framework, emphasizing the need for a balance between environmental stewardship and economic viability.

Our analysis of the proposal highlights significant implications for compliance_cost, operational_burden, implementation_timeline. Specifically, our ability to comply is affected by global competitiveness pressures, capital-intensive production processes, multi-site regulatory compliance. Success in this rulemaking requires a pragmatic approach. We suggest the agency acknowledges environmental goals but emphasizes the need for science-based standards, realistic compliance timelines, and consideration of economic competitiveness. to ensure effective implementation.

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

American Chemistry Council"
Sierra Club,Sierra Club,advocacy_org,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Sierra Club
Organization: Sierra Club
Subject: Formal Comment on Proposed Rulemaking

On behalf of Sierra Club and our mission to support environmental litigation and advocacy, grassroots organizing for clean air and water, we strongly urge the EPA to consider the vital protections afforded by this rule.

Our analysis of the proposal highlights significant implications for public_health, environmental_protection, environmental_justice. Specifically, our ability to comply is affected by reliance on scientific consensus, accountability to 3.8 million members, legal standing requirements. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency strongly supporting the proposed rule and urging the agency to adopt even more protective standards, citing scientific evidence and public health data..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Sierra Club"
National Association of Manufacturers,National Association of Manufacturers,trade_association,Opposed,"May 10, 2026

To: The Environmental Protection Agency
From: National Association of Manufacturers
Organization: National Association of Manufacturers
Subject: Formal Comment on Proposed Rulemaking

The National Association of Manufacturers represents a broad spectrum of interests in manufacturing policy advocacy for 14,000+ member companies, workforce development programs. We write today to share our perspectives on the proposed regulatory framework, emphasizing the need for a balance between environmental stewardship and economic viability.

Our analysis of the proposal highlights significant implications for compliance_cost, operational_burden, economic_impact. Specifically, our ability to comply is affected by diverse membership from small to large manufacturers, supply chain complexity, international trade competitiveness. While we support the spirit of environmental protection, the current approach is overly burdensome. The agency should instead opposing overly burdensome regulations, requesting cost-benefit analysis, and proposing industry-led alternatives that achieve environmental goals more efficiently..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

National Association of Manufacturers"
"Dr. Maria Gonzalez, Environmental Epidemiologist",Columbia University Mailman School of Public Health,academic,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Dr. Maria Gonzalez, Environmental Epidemiologist
Organization: Columbia University Mailman School of Public Health
Subject: Formal Comment on Proposed Rulemaking

As a researcher at Columbia University Mailman School of Public Health specializing in environmental health research, I am submitting this technical comment to ensure the agency's final decision is grounded in the most robust and current scientific data.

Our analysis of the proposal highlights significant implications for public_health, scientific_integrity, environmental_justice. Specifically, our ability to comply is affected by adherence to peer-reviewed methodologies, institutional review board requirements, grant-funded research timelines. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency citing peer-reviewed evidence supporting stronger protections, identifying gaps in the agency's health impact assessment, and recommending additional studies..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Dr. Maria Gonzalez, Environmental Epidemiologist"
Joe's Auto Body & Paint,Joe's Auto Body & Paint,small_business,Concerned,"May 10, 2026

To: The Environmental Protection Agency
From: Joe's Auto Body & Paint
Organization: Joe's Auto Body & Paint
Subject: Formal Comment on Proposed Rulemaking

As the owner of Joe's Auto Body & Paint, a small business employing 5 people, I am deeply concerned about the practicalities of the proposed requirements.

Our analysis of the proposal highlights significant implications for compliance_cost, operational_burden, small_business_viability. Specifically, our ability to comply is affected by 5 employees with no dedicated compliance staff, thin profit margins, limited capital for equipment upgrades. Success in this rulemaking requires a pragmatic approach. We suggest the agency from a small business owner concerned about compliance costs, requesting simplified reporting for small operations and financial assistance programs. to ensure effective implementation.

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Joe's Auto Body & Paint"
ExxonMobil Corporation,ExxonMobil Corporation,large_corporation,Opposed,"May 10, 2026

To: The Environmental Protection Agency
From: ExxonMobil Corporation
Organization: ExxonMobil Corporation
Subject: Formal Comment on Proposed Rulemaking

ExxonMobil Corporation, a global leader in petroleum refining and petrochemical manufacturing, appreciates the opportunity to comment. We are committed to sustainability, yet the specific operational complexities of our industry require careful regulatory tailoring.

Our analysis of the proposal highlights significant implications for compliance_cost, economic_impact, implementation_timeline. Specifically, our ability to comply is affected by multi-billion dollar capital planning cycles, global regulatory compliance across jurisdictions, long-term infrastructure investment commitments. While we support the spirit of environmental protection, the current approach is overly burdensome. The agency should instead questioning the regulatory impact analysis, requesting extended compliance timelines, and arguing for technology-neutral performance standards..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

ExxonMobil Corporation"
California Air Resources Board,California Air Resources Board,government_agency,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: California Air Resources Board
Organization: California Air Resources Board
Subject: Formal Comment on Proposed Rulemaking

The California Air Resources Board submits these comments to ensure federal standards are harmonized with state-level expertise and existing frameworks in state air quality regulation and enforcement, vehicle emission standards development.

Our analysis of the proposal highlights significant implications for regulatory_alignment, implementation_timeline, public_health. Specifically, our ability to comply is affected by federal-state regulatory coordination, California waiver authority considerations, existing state regulatory frameworks. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency supporting the proposed rule, noting California's experience with similar standards, and offering technical assistance for implementation..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

California Air Resources Board"
"Linda Martinez, Concerned Resident",N/A,individual,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Linda Martinez, Concerned Resident
Subject: Formal Comment on Proposed Rulemaking

As a lives near industrial facility in Houston's East End living in the community, I am writing to share my personal experience and support for stronger protections.

Our analysis of the proposal highlights significant implications for public_health, environmental_justice, quality_of_life. Specifically, our ability to comply is affected by limited technical expertise in regulatory language, personal health impacts from pollution, English as second language. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency describing lived experience with pollution, supporting stronger protections, and urging the agency to prioritize fenceline communities..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Linda Martinez, Concerned Resident"
American Petroleum Institute,American Petroleum Institute,trade_association,Opposed,"May 10, 2026

To: The Environmental Protection Agency
From: American Petroleum Institute
Organization: American Petroleum Institute
Subject: Formal Comment on Proposed Rulemaking

The American Petroleum Institute represents a broad spectrum of interests in oil and natural gas industry advocacy, standards development for petroleum operations. We write today to share our perspectives on the proposed regulatory framework, emphasizing the need for a balance between environmental stewardship and economic viability.

Our analysis of the proposal highlights significant implications for compliance_cost, economic_impact, energy_reliability. Specifically, our ability to comply is affected by 600+ member companies of varying sizes, existing voluntary emission reduction programs, energy security considerations. While we support the spirit of environmental protection, the current approach is overly burdensome. The agency should instead opposing the rule's scope, citing industry progress on voluntary measures, and requesting a more targeted regulatory approach..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

American Petroleum Institute"
Earthjustice,Earthjustice,advocacy_org,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Earthjustice
Organization: Earthjustice
Subject: Formal Comment on Proposed Rulemaking

On behalf of Earthjustice and our mission to support environmental public interest litigation, Clean Air Act enforcement advocacy, we strongly urge the EPA to consider the vital protections afforded by this rule.

Our analysis of the proposal highlights significant implications for public_health, environmental_protection, legal_compliance. Specifically, our ability to comply is affected by legal defensibility of arguments, administrative record building, statutory authority requirements. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency supporting the rule, identifying areas where the agency should strengthen protections to fulfill its statutory obligations..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Earthjustice"
