Display Name,Organization,Stance,Comment Letter
American Trucking Associations,American Trucking Associations,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - American Trucking Associations

The American Trucking Associations represents a vital sector of the transportation industry, specifically focused on trucking industry advocacy for 37,000+ member fleets, freight transportation safety and policy. We appreciate the opportunity to comment on the proposed regulatory changes.

Our perspective is informed by several critical operational constraints, including fleet turnover economics (8-10 year replacement cycles), driver shortage exceeding 80,000 drivers, diverse membership from owner-operators to mega-carriers. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, operational burden, implementation timeline.

Based on these considerations, we strongly recommend the following: Expressing concern about regulatory impacts on trucking operations, requesting cost-benefit analysis, and proposing industry-led safety alternatives.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

American Trucking Associations
American Trucking Associations"
Advocates for Highway and Auto Safety,Advocates for Highway and Auto Safety,Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Advocates for Highway and Auto Safety

On behalf of Advocates for Highway and Auto Safety, an organization dedicated to highway safety legislation and regulation advocacy, truck and bus crash prevention campaigns, we submit these comments to ensure that public safety remains the paramount consideration in this rulemaking process.

Our perspective is informed by several critical operational constraints, including crash data and fatality statistics reliance, coalition coordination with safety organizations, bipartisan legislative engagement. Furthermore, we anticipate that the proposed changes will significantly impact public safety, crash reduction, regulatory enforcement.

Based on these considerations, we strongly recommend the following: Supporting stronger safety regulations, citing crash fatality data, and urging the agency to prioritize life-saving technology mandates.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Advocates for Highway and Auto Safety
Advocates for Highway and Auto Safety"
Werner Enterprises Inc.,Werner Enterprises Inc.,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Werner Enterprises Inc.

Werner Enterprises Inc. operates extensive networks involving truckload and logistics services across North America, fleet of 8,000+ trucks with company and independent drivers. We are committed to safety and operational excellence and offer these insights based on our extensive field experience.

Our perspective is informed by several critical operational constraints, including driver recruitment and retention competition, ELD and safety technology integration costs, cross-border Mexico and Canada operations compliance. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, operational burden, driver retention.

Based on these considerations, we strongly recommend the following: Requesting regulatory flexibility for large carriers with strong safety records, technology adoption incentives, and cross-border harmonization.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Werner Enterprises Inc.
Werner Enterprises Inc."
"Dr. Daniel Blower, Truck Safety Researcher",University of Michigan Transportation Research Institute,Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - University of Michigan Transportation Research Institute

As a researcher at University of Michigan Transportation Research Institute specializing in large truck crash causation and data analysis, I am providing this technical assessment to assist the FMCSA in grounding its final rule in robust, peer-reviewed evidence.

Our perspective is informed by several critical operational constraints, including crash data access and quality limitations, peer-review publication timelines, research funding from DOT and industry sources. Furthermore, we anticipate that the proposed changes will significantly impact public safety, scientific integrity, crash reduction.

Based on these considerations, we strongly recommend the following: Draft a technical comment presenting crash data analysis supporting proposed safety standards, identifying data gaps, and recommending research priorities.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Dr. Daniel Blower, Truck Safety Researcher
University of Michigan Transportation Research Institute"
"Mike Patterson, Owner-Operator",,Opposed,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - None

I am writing as an individual with significant experience in independent owner-operator hauling dry van freight to share my perspective on the proposed safety regulations.

Our perspective is informed by several critical operational constraints, including income directly tied to miles driven, ELD mandate reduced operational flexibility, no support staff for compliance paperwork. Furthermore, we anticipate that the proposed changes will significantly impact economic impact, operational burden, driver autonomy.

Based on these considerations, we strongly recommend the following: Opposing further hours of service restrictions, describing financial impact on independent operators, and requesting flexibility for experienced drivers.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Mike Patterson, Owner-Operator
None"
Rodriguez Family Trucking,Rodriguez Family Trucking LLC,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Rodriguez Family Trucking LLC

As a small business owner operating in the regional flatbed hauling in the Southwest space, I am writing to share how the proposed rules will directly impact my company's daily operations and long-term viability.

Our perspective is informed by several critical operational constraints, including limited administrative staff for compliance, insurance cost increases with each new regulation, seasonal construction demand variability. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, small business viability, operational burden.

Based on these considerations, we strongly recommend the following: Requesting small carrier exemptions, simplified compliance pathways, and recognition of the disproportionate regulatory burden on family-owned fleets.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Rodriguez Family Trucking
Rodriguez Family Trucking LLC"
Commercial Vehicle Safety Alliance,Commercial Vehicle Safety Alliance,Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Commercial Vehicle Safety Alliance

I am writing as an individual with significant experience in state and federal CMV safety enforcement coordination to share my perspective on the proposed safety regulations.

Our perspective is informed by several critical operational constraints, including state-level inspection workforce limitations, inspection consistency across jurisdictions, technology integration for roadside enforcement. Furthermore, we anticipate that the proposed changes will significantly impact regulatory enforcement, public safety, implementation timeline.

Based on these considerations, we strongly recommend the following: Supporting uniform enforcement standards, requesting adequate state funding for inspections, and recommending technology-enabled roadside safety systems.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Commercial Vehicle Safety Alliance
Commercial Vehicle Safety Alliance"
American Association of Motor Vehicle Administrators,American Association of Motor Vehicle Administrators,Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - American Association of Motor Vehicle Administrators

I am writing as an individual with significant experience in CDL licensing and testing standards coordination to share my perspective on the proposed safety regulations.

Our perspective is informed by several critical operational constraints, including state DMV system interoperability challenges, CDL fraud and masking detection needs, medical certification data exchange requirements. Furthermore, we anticipate that the proposed changes will significantly impact regulatory alignment, public safety, implementation timeline.

Based on these considerations, we strongly recommend the following: Supporting CDL program improvements, enhanced interstate driver record sharing, and medical certification integration with state licensing systems.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

American Association of Motor Vehicle Administrators
American Association of Motor Vehicle Administrators"
Owner-Operator Independent Drivers Association,Owner-Operator Independent Drivers Association,Opposed,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Owner-Operator Independent Drivers Association

The Owner-Operator Independent Drivers Association represents a vital sector of the transportation industry, specifically focused on independent trucker advocacy for 150,000+ members, hours of service and ELD policy opposition. We appreciate the opportunity to comment on the proposed regulatory changes.

Our perspective is informed by several critical operational constraints, including members are self-employed small business owners, per-mile compensation model sensitivity to HOS rules, limited political influence versus large carrier lobbying. Furthermore, we anticipate that the proposed changes will significantly impact economic impact, driver autonomy, small business viability.

Based on these considerations, we strongly recommend the following: Opposing one-size-fits-all regulations, defending driver flexibility for experienced operators, and citing unintended safety consequences of rigid HOS rules.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Owner-Operator Independent Drivers Association
Owner-Operator Independent Drivers Association"
J.B. Hunt Transport Services Inc.,J.B. Hunt Transport Services Inc.,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - J.B. Hunt Transport Services Inc.

J.B. Hunt Transport Services Inc. operates extensive networks involving intermodal, dedicated, and truckload freight services, fleet of 12,000+ company trucks and 25,000+ trailers. We are committed to safety and operational excellence and offer these insights based on our extensive field experience.

Our perspective is informed by several critical operational constraints, including intermodal rail-truck coordination scheduling, driver training and retention investment, autonomous vehicle technology development timeline. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, operational burden, innovation impact.

Based on these considerations, we strongly recommend the following: Requesting regulatory frameworks that accommodate intermodal operations, autonomous vehicle testing provisions, and safety technology adoption incentives.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

J.B. Hunt Transport Services Inc.
J.B. Hunt Transport Services Inc."
