display_name,organization,stance,comment_letter
Pharmaceutical Research and Manufacturers of America,Pharmaceutical Research and Manufacturers of America (PhRMA),concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Pharmaceutical Research and Manufacturers of America (PhRMA) appreciates the opportunity to provide these formal comments. As an entity engaged in brand-name pharmaceutical industry advocacy, drug pricing and market access policy, clinical trial and regulatory pathway coordination, our perspective is deeply informed by our operational environment, which includes R&D investment recovery timelines (10-15 years per drug), global regulatory harmonization needs, patent and exclusivity period dependencies.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a comment expressing concern about regulatory changes that could delay drug approvals, requesting streamlined review pathways, and emphasizing innovation incentives.

The proposed changes will directly impact our operations in the following areas: compliance_cost, innovation_impact, implementation_timeline. We urge the Agency to consider these factors, particularly how they affect compliance cost, innovation impact, implementation timeline, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Pharmaceutical Research and Manufacturers of America
Pharmaceutical Research and Manufacturers of America (PhRMA)"
Public Citizen Health Research Group,Public Citizen Health Research Group,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Public Citizen Health Research Group appreciates the opportunity to provide these formal comments. As an entity engaged in drug and device safety advocacy, FDA accountability campaigns, petition filings for drug withdrawals and label changes, our perspective is deeply informed by our operational environment, which includes evidence-based safety advocacy standards, FOIA-dependent research access, small staff covering broad regulatory portfolio.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting stronger safety requirements, citing post-market surveillance data, and urging the agency to prioritize patient safety over industry timelines.

The proposed changes will directly impact our operations in the following areas: public_health, patient_safety, regulatory_transparency. We urge the Agency to consider these factors, particularly how they affect public health, patient safety, regulatory transparency, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Public Citizen Health Research Group
Public Citizen Health Research Group"
Johnson & Johnson,Johnson & Johnson,concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Johnson & Johnson appreciates the opportunity to provide these formal comments. As an entity engaged in pharmaceutical and biologic drug development, medical device manufacturing, consumer health products, our perspective is deeply informed by our operational environment, which includes multi-division regulatory compliance across FDA centers, global manufacturing harmonization, ongoing litigation and product liability considerations.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a comment requesting regulatory clarity across product categories, harmonization with international standards, and phased implementation for new manufacturing requirements.

The proposed changes will directly impact our operations in the following areas: compliance_cost, operational_burden, implementation_timeline. We urge the Agency to consider these factors, particularly how they affect compliance cost, operational burden, implementation timeline, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Johnson & Johnson
Johnson & Johnson"
"Dr. Pieter Cohen, Dietary Supplement Researcher",Harvard Medical School / Cambridge Health Alliance,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Harvard Medical School / Cambridge Health Alliance appreciates the opportunity to provide these formal comments. As an entity engaged in dietary supplement adulteration research, stimulant and weight loss supplement analysis, peer-reviewed safety evaluations of supplement ingredients, our perspective is deeply informed by our operational environment, which includes peer-review publication timelines, limited funding for supplement safety research, industry opposition to findings.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a technical comment presenting evidence of supplement adulteration, supporting mandatory pre-market review, and recommending FDA enforcement improvements.

The proposed changes will directly impact our operations in the following areas: public_health, scientific_integrity, patient_safety. We urge the Agency to consider these factors, particularly how they affect public health, scientific integrity, patient safety, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Dr. Pieter Cohen, Dietary Supplement Researcher
Harvard Medical School / Cambridge Health Alliance"
"Maria Chen, Type 1 Diabetes Patient",,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Maria Chen, Type 1 Diabetes Patient appreciates the opportunity to provide these formal comments. As an entity engaged in insulin-dependent diabetes management since childhood, continuous glucose monitor and insulin pump user, patient advocacy volunteer, our perspective is deeply informed by our operational environment, which includes insulin affordability challenges, insurance coverage gaps for devices, device interoperability limitations.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a personal comment describing insulin cost burden, supporting biosimilar approval pathways, and urging device interoperability standards.

The proposed changes will directly impact our operations in the following areas: patient_access, affordability, quality_of_life. We urge the Agency to consider these factors, particularly how they affect patient access, affordability, quality of life, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Maria Chen, Type 1 Diabetes Patient
Maria Chen, Type 1 Diabetes Patient"
Corner Pharmacy of Greenville,Corner Pharmacy of Greenville,concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Corner Pharmacy of Greenville appreciates the opportunity to provide these formal comments. As an entity engaged in independent community pharmacy dispensing, compounding services for local physicians, medication therapy management, our perspective is deeply informed by our operational environment, which includes 3 pharmacists and 4 technicians, compounding regulation compliance costs, PBM reimbursement pressures.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a comment requesting simplified compounding regulations for small pharmacies, proportional compliance requirements, and recognition of community pharmacy access role.

The proposed changes will directly impact our operations in the following areas: compliance_cost, small_business_viability, patient_access. We urge the Agency to consider these factors, particularly how they affect compliance cost, small business viability, patient access, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Corner Pharmacy of Greenville
Corner Pharmacy of Greenville"
California Department of Public Health,California Department of Public Health,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

California Department of Public Health appreciates the opportunity to provide these formal comments. As an entity engaged in state food safety inspection and enforcement, Proposition 65 chemical safety implementation, tobacco and cannabis product regulation, our perspective is deeply informed by our operational environment, which includes federal-state regulatory coordination requirements, California's often-stricter state standards, resource allocation across large diverse population.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting federal standards at least as protective as California's, requesting federal-state coordination mechanisms, and sharing state implementation experience.

The proposed changes will directly impact our operations in the following areas: regulatory_alignment, public_health, implementation_timeline. We urge the Agency to consider these factors, particularly how they affect regulatory alignment, public health, implementation timeline, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

California Department of Public Health
California Department of Public Health"
American Medical Association,American Medical Association,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

American Medical Association appreciates the opportunity to provide these formal comments. As an entity engaged in physician practice standards and advocacy, drug safety and prescribing guideline development, health policy research and education, our perspective is deeply informed by our operational environment, which includes evidence-based medicine standards, diverse physician specialty perspectives, patient care impact considerations.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment from a physician perspective supporting safety labeling improvements, clinical evidence requirements, and prescriber education mandates.

The proposed changes will directly impact our operations in the following areas: patient_safety, public_health, clinical_practice. We urge the Agency to consider these factors, particularly how they affect patient safety, public health, clinical practice, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

American Medical Association
American Medical Association"
Generic Pharmaceutical Association (AAM),Association for Accessible Medicines,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Association for Accessible Medicines appreciates the opportunity to provide these formal comments. As an entity engaged in generic and biosimilar drug industry advocacy, ANDA and biosimilar approval pathway policy, drug pricing competition promotion, our perspective is deeply informed by our operational environment, which includes brand-name patent thicket challenges, REMS abuse blocking generic entry, FDA review backlog for generic applications.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting streamlined generic and biosimilar approvals, opposing REMS abuse, and requesting FDA action to reduce approval backlogs.

The proposed changes will directly impact our operations in the following areas: patient_access, affordability, implementation_timeline. We urge the Agency to consider these factors, particularly how they affect patient access, affordability, implementation timeline, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Generic Pharmaceutical Association (AAM)
Association for Accessible Medicines"
Pfizer Inc.,Pfizer Inc.,concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Pfizer Inc. appreciates the opportunity to provide these formal comments. As an entity engaged in pharmaceutical and vaccine development, biologic manufacturing at global scale, clinical trial operations across 40+ countries, our perspective is deeply informed by our operational environment, which includes multi-year drug development pipelines, global manufacturing consistency requirements, post-market pharmacovigilance obligations.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a comment requesting predictable regulatory pathways, international standards harmonization, and recognition of ongoing pharmacovigilance investments.

The proposed changes will directly impact our operations in the following areas: compliance_cost, innovation_impact, implementation_timeline. We urge the Agency to consider these factors, particularly how they affect compliance cost, innovation impact, implementation timeline, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Pfizer Inc.
Pfizer Inc."
