file,source_label,comparison_agency
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/a79d36cb-3c09-558d-aa08-e786fb29e6e0.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/7b34dba0-9233-5d2a-b8d8-340c8ccca4f8.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/f1ff33d3-109b-57a7-8e3b-f16a011634f3.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/3e1dbdfd-a78a-5eb9-8e19-5f03c857266a.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/dbe1344d-4c39-5672-a469-5e7a44e304ea.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/dfd45e00-c590-5a46-b135-addb18e8fa4a.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/accc542c-cd20-51db-a9c4-fbdf9afef885.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/7c5ba175-c80a-5a36-887d-5c8d020d7043.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/259d764d-b62c-50f5-b890-49cc67c70dd6.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/03244a1c-5292-5eb2-aca5-8f10759f81e9.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/62816280-96c4-50db-b76c-2571dc5cbec0.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/cded3e02-d94f-5342-ba97-15f3c512754e.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/84c25260-3b31-59b5-bcf9-3d7f8cd419e3.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/4ff6df3b-1622-5288-a6f3-f61c9f338e93.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/81c0daa1-d1fd-5271-b843-3f59030a83ba.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/139830a4-7ac6-537c-adc8-66568df4cdf7.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/4910afa9-9fed-5fff-84df-57bcde4b4a8c.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/38950ad2-ed0a-5ec1-a698-60e2b6b8a51d.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/ecf12b69-1395-5f2d-ae40-ae1b5a92d5ab.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/ca87fe31-0ada-56a2-9539-393ad5931ce1.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/8b5d48e4-a2af-50d3-91e9-0585ca4c980d.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/b52ebe2b-119f-5efa-86ae-9c52242a978f.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/b2ea6618-9895-5a73-b049-6c6fdd5dfafd.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/3c5cc3b0-5aa8-5c5d-8fd9-961f7bbec1f4.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/7920897a-ad66-5184-bdc9-a52838947857.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/67256063-cc41-5afb-869a-a349c11caf7a.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/2433b50e-11d7-550b-91c9-bd5096ddc8e4.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/d742ffab-0b79-59c7-bfe0-f14b7a6b89e5.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/2ba939ab-cf20-5aae-b1d9-cac17af0a125.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/ad33cc1e-3cb4-5f44-9f00-18458666d615.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/f109c934-ad33-55be-85bf-93589e6d0da4.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/614e3a09-57f4-5ec6-925c-388aceebca09.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/55e6bb6b-6004-5fbd-a9cc-7c92a92b5cab.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/e57f8509-fdc8-5497-b862-e80a6d929718.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/1bf849eb-f6be-5536-bf51-ba02911f82b0.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/82036d03-9995-5f7d-ada5-8f932d0f3070.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/b451475e-22c7-5ec6-a2b1-1f22309912d4.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/6fd1c786-f3fd-5942-aa3b-a5d680c79aec.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/3cc2364b-67a1-55f2-9b59-322f37072f29.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/c100ffb3-dce1-58d9-ac4f-5dcf5f3a6dd0.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/6d71820e-7187-5b21-8ba1-2409f0d8f05e.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/22bac8c1-de51-5e79-840d-dc4d6d3c8c90.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/9aa4e65f-0c4e-52e7-b3cb-24ee9ecd125e.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/551a1302-d2d4-5c24-8ffa-77db1bc60597.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/41137a23-7d3b-5872-84fc-4df2efbb475a.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/d6ccc4ad-1c14-5368-96fb-91a3526e6f06.json,human,EPA
/Users/norazhan/Desktop/MDI/Statt/LLM-eval/comments/4a33698e-6970-5598-8ca5-8dd1419675d4.json,human,EPA
