source,source_label,policy_id,display_name,comment_text
csv:mpl-zses-dh03.csv:row0,human,EPA-HQ-OW-2025-2929,Matthew Sparks,See attached file(s)
csv:mpl-zses-dh03.csv:row1,human,EPA-HQ-OW-2025-2929,Mindy Gilbert,"It appears this administration is deregulating the Clean Water Act to allow for the fraudulent 45Q and 45V tax credits. These incentivize the contamination of our land and water so friends of our elected officials, big corporations and foreign entities can steal our tax dollars. This scam is worth trillions of tax dollars. Our elected officials get richer while voters lose their land and mineral rights along with clean water. This is part of a huge criminal enterprise encompassing politicians from every level of government. This includes the Executive Branch down to local government. We the People will not stop fighting and exposing this devastating corruption."
csv:mpl-zses-dh03.csv:row2,human,EPA-HQ-OW-2025-2929,Anonymous public comment,"I recommend to not change the regulations as described in this proposed rule. first of all this is a naked attempt by the trump administration to weaken regulations, fast track unsafe, dangerous, polluting projects.
During trump's 2024 campaign he told voter's he would 'bring down prices on day one, end the russia Ukraine war on day one"" These were lies and therefore any action by the trump administration is ""fruit of the poison tree"" and therefore null, void, and illegal.

Americans environment and health will be endangered by this criminal proposal. Deregulation always costs the American taxpayer more in damages, they include but are not limited to: clean up costs, climate change / global warming mitigation, drought, famine, wars, sea level rise."
csv:mpl-zses-dh03.csv:row3,human,EPA-HQ-OW-2025-2929,Anonymous public comment,"hello. i lowkirkenuinely think that this is an absolutely phenomenal bill. four score and seven minutes ago, i stopped clicking my cook to review this proposed rule with my ever-so-comprehensive eyes. if it would pertain to your greatest interests, i believe that some changes would be beneficial. primarily, i had to stop reading this document because there were too many words in it. i propose that you strike sections 1b through j, including the entirety of j along with the footnotes. secondly, i believe it to be that, as a nation, we uphold our constitutional values. in this belief, i cite the preamble in saying that we, as a nation, must provide for the general welfare. in the sections that i requested be struck, one can see how the rules laid out would fail to provide for the general welfare. rather, as a nation, they would detract from the general welfare. one can surmise, as a nation, that the general welfare is important, given that the constitution's framers saw it necessary to provide for it in the pragmatic introduction of the rules of this country. henceforth, as a nation, i find it necessary that the aforementioned sections be wholly removed from the proposed rule, and that if deemed utterly crucial, i be contacted on behalf of striking section 1a. as taught by my unconventional and sometimes belligerent government professor, one's beliefs in our government are absolutely inconsequential. i disagree with my professor. on the matter of striking the previously named sections, as a nation, i find it positively compulsory that my humble beliefs are presented to you. ta-ta!"
csv:mpl-zses-dh03.csv:row4,human,EPA-HQ-OW-2025-2929,Association of Clean Water Administrators (ACWA),See attached file(s)
csv:mpl-zses-dh03.csv:row5,human,EPA-HQ-OW-2025-2929,Anonymous public comment,See attached file(s)
csv:mpl-zses-dh03.csv:row6,human,EPA-HQ-OW-2025-2929,National Association of Wetland Managers (NAWM),Please see attached for NAWM's request for an extension to the public comment period.
csv:mpl-zses-dh03.csv:row7,human,EPA-HQ-OW-2025-2929,Alison Lindberg,See Attached
csv:mpl-zses-dh03.csv:row8,human,EPA-HQ-OW-2025-2929,"Natural Resources Defense Council (NRDC), Alabama Rivers Alliance et al.",Attached is a request by 53 organizations for an extension of the comment period on this proposed rule.
csv:mpl-zses-dh03.csv:row9,human,EPA-HQ-OW-2025-2929,Jamestown S'Klallam Tribe,See attached file(s)
